"idBank";"Dernière mise à jour";"Correction";"Indicateur";"Série arrêtée";"Nomenclature de valorisations";"﻿Base de l'indice";"Métiers";"Nature";"Périodicité";"Unité";"Zone géographique";"Puissance";"Sexe";"Quotité de temps de travail"
"000883671";"08/01/2024 02:35";"Non corrigé";"Montant horaire brut du SMIC";"non";"Sans objet";"Sans objet";"Sans objet";"Valeur absolue";"Annuelle";"euros";"France métropolitaine";"0";"Ensemble";"Sans objet"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
