"Libellé";"Taux de chômage localisé par région - Île-de-France";"Codes"
"idBank";"001515843";""
"Dernière mise à jour";"20/06/2024 12:00";""
"Période";"";""
"2024-T4";"";""
"2024-T3";"";""
"2024-T2";"";""
"2024-T1";"7.1";"SD"
"2023-T4";"7.1";"A"
"2023-T3";"7.0";"A"
"2023-T2";"6.8";"A"
"2023-T1";"6.7";"A"
"2022-T4";"6.8";"A"
"2022-T3";"6.9";"A"
"2022-T2";"7.0";"A"
"2022-T1";"7.1";"A"
"2021-T4";"7.1";"A"
"2021-T3";"7.6";"A"
"2021-T2";"7.5";"A"
"2021-T1";"7.8";"A"
"2020-T4";"7.7";"A"
"2020-T3";"8.3";"A"
"2020-T2";"6.3";"A"
"2020-T1";"7.0";"A"
"2019-T4";"7.2";"A"
"2019-T3";"7.4";"A"
"2019-T2";"7.4";"A"
"2019-T1";"7.6";"A"
"2018-T4";"7.7";"A"
"2018-T3";"7.8";"A"
"2018-T2";"8.0";"A"
"2018-T1";"8.1";"A"
"2017-T4";"7.8";"A"
"2017-T3";"8.3";"A"
"2017-T2";"8.2";"A"
"2017-T1";"8.3";"A"
"2016-T4";"8.7";"A"
"2016-T3";"8.5";"A"
"2016-T2";"8.6";"A"
"2016-T1";"8.8";"A"
"2015-T4";"8.8";"A"
"2015-T3";"8.9";"A"
"2015-T2";"9.0";"A"
"2015-T1";"8.8";"A"
"2014-T4";"9.0";"A"
"2014-T3";"8.8";"A"
"2014-T2";"8.7";"A"
"2014-T1";"8.7";"A"
"2013-T4";"8.7";"A"
"2013-T3";"8.7";"A"
"2013-T2";"8.8";"A"
"2013-T1";"8.7";"A"
"2012-T4";"8.5";"A"
"2012-T3";"8.3";"A"
"2012-T2";"8.2";"A"
"2012-T1";"8.1";"A"
"2011-T4";"8.0";"A"
