dataset_id;series_key;title_fr;title_en;time_period;time_period_start;time_period_end;obs_value;obs_status;updated_at;observations_attributes_and_values;comment_obs;conf_status;embargo_date;obs_com;obs_conf;obs_edp_wbb;obs_pre_break;pre_break_value;time_format
ICP;ICP.A.AT.N.011800.4.INW;;;2024;2024-01-01;2024-12-31;9.04;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2023;2023-01-01;2023-12-31;9.06;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2022;2022-01-01;2022-12-31;10.16;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2021;2021-01-01;2021-12-31;11.42;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2020;2020-01-01;2020-12-31;9.27;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2019;2019-01-01;2019-12-31;9.85;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2018;2018-01-01;2018-12-31;9.09;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2017;2017-01-01;2017-12-31;8.31;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2016;2016-01-01;2016-12-31;8.98;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2015;2015-01-01;2015-12-31;9.46;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2014;2014-01-01;2014-12-31;9.55;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2013;2013-01-01;2013-12-31;9.48;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2012;2012-01-01;2012-12-31;9.04;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2011;2011-01-01;2011-12-31;9.28;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2010;2010-01-01;2010-12-31;10.35;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2009;2009-01-01;2009-12-31;10.53;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2008;2008-01-01;2008-12-31;9.94;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2007;2007-01-01;2007-12-31;10.05;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2006;2006-01-01;2006-12-31;10.1;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2005;2005-01-01;2005-12-31;10.87;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2004;2004-01-01;2004-12-31;10.97;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2003;2003-01-01;2003-12-31;10.79;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2002;2002-01-01;2002-12-31;10.93;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2001;2001-01-01;2001-12-31;10.78;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;2000;2000-01-01;2000-12-31;9.25;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;1999;1999-01-01;1999-12-31;11.6;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;1998;1998-01-01;1998-12-31;11.52;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;1997;1997-01-01;1997-12-31;11.64;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;1996;1996-01-01;1996-12-31;11.64;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
ICP;ICP.A.AT.N.011800.4.INW;;;1995;1995-01-01;1995-12-31;11.65;A;2024-04-26T15:20:03+00:00;"{""OBS_STATUS"": ""A"", ""OBS_CONF"": ""F""}";;;;;F;;;;
